absenc, 981->13.098361127332096
defici,178->14.098361127332096
ion,565->14.098361127332096
analysi, 959->11.776433032444734
describ, 652->12.513234113806053
cholesterolbl,33->14.098361127332096
rabbit, 177->13.098361127332096
disea, 927->9.573647187493323
volum, 860->47.105732129778936
adolesc, 867->12.513234113806053
approxim, 868->12.513234113806053
rai,938->14.098361127332096
trauma, 334->26.19672225466419
polytetrafluoroethylen,72->14.098361127332096
rat, 847->47.5587632688369
cour, 5->13.098361127332096
carboxyhemoglobin,5->14.098361127332096
overload,23->14.098361127332096
befor, 664->11.776433032444734
size,564->14.098361127332096
left, 327->22.580037693865236
cellular,660->28.19672225466419
prosthesi, 926->36.29409624888158
femor,371->14.098361127332096
object,272->14.098361127332096
cardiac, 333->24.196064165921054
abnorm,173->14.098361127332096
role, 699->11.5127404628035
overdo,1->42.295083381996285
durat, 320->25.026468227612106
suffici,371->14.098361127332096
result, 980->8.700439718141093
densiti,974->14.098361127332096
cytotox,184->14.098361127332096
measur, 983->9.774787059601174
surfac, 665->26.19672225466419
close,408->14.098361127332096
bonesin,5->14.098361127332096
orthop,905->14.098361127332096
hand, 451->13.098361127332096
osseou,9->14.098361127332096
scenetohospit,1->14.098361127332096
neck,286->28.19672225466419
blood, 983->9.339850002884624
surgeri, 622->26.19672225466419
andor, 371->13.098361127332096
thi, 986->7.9188632372745955
invasion,296->14.098361127332096
anaesthet, 128->13.098361127332096
plasma, 987->21.276871827980944
demonstr, 591->11.776433032444734
discuss,246->14.098361127332096
thu,457->14.098361127332096
longterm, 92->12.513234113806053
ventricular, 334->32.78333388624702
specif, 835->11.098032082960527
exer, 830->13.098361127332096
coagul,59->14.098361127332096
acid, 571->12.098032082960527
aggreg,92->14.098361127332096
rel, 557->13.098361127332096
sampl,235->14.098361127332096
otherw,383->14.098361127332096
area, 383->13.098361127332096
hypoxia, 823->13.098361127332096
initi, 387->25.026468227612106
wherea, 959->12.098032082960527
sonic,49->14.098361127332096
thrombosi,92->14.098361127332096
deform, 918->13.098361127332096
reduc, 988->10.396604781181859
